"raw_text","aspectTerms"
"A few tips: skip the turnip cake, roast pork buns and egg custards.","[{'term': 'turnip cake', 'polarity': 'negative'}, {'term': 'roast pork buns', 'polarity': 'negative'}, {'term': 'egg custards', 'polarity': 'negative'}]"
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.","[{'term': 'manager', 'polarity': 'negative'}, {'term': 'gentleman', 'polarity': 'negative'}, {'term': 'table', 'polarity': 'neutral'}]"
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","[{'term': 'glass of prosecco', 'polarity': 'positive'}, {'term': 'mussels', 'polarity': 'positive'}, {'term': 'glass of Leaping Lizard', 'polarity': 'positive'}]"
"A great choice at any cost and a great deal.","[{'term': 'cost', 'polarity': 'positive'}]"
"A great way to make some money is to buy a case of snapple from Costco and sell it right outside for only $2.50.","[{'term': 'case of snapple', 'polarity': 'neutral'}]"
"A large is $20, and toppings are about $3 each.","[{'term': 'toppings', 'polarity': 'neutral'}]"
"A must for all the Dosa lovers.","[{'term': 'Dosa', 'polarity': 'positive'}]"
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","[{'term': 'corridor', 'polarity': 'negative'}, {'term': 'space', 'polarity': 'negative'}, {'term': 'counters', 'polarity': 'negative'}, {'term': 'counter', 'polarity': 'negative'}, {'term': 'entrees', 'polarity': 'neutral'}]"
"A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}]"
"A touch more jalapeno heat for contrast and it would have been very good indeed.","[{'term': 'jalapeno', 'polarity': 'positive'}]"
"A very inviting restaurant, with friendly service.","[{'term': 'service', 'polarity': 'positive'}]"
"A wonderful place!","[{'term': 'place', 'polarity': 'positive'}]"
"A++   The service was good to excellent along with the attitude.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'attitude', 'polarity': 'positive'}]"
"Acceptable prices.","[{'term': 'prices', 'polarity': 'positive'}]"
"Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]"
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","[{'term': 'open kitchen', 'polarity': 'positive'}]"
"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.","[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'fish', 'polarity': 'neutral'}]"
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.","[{'term': 'waiter', 'polarity': 'negative'}, {'term': 'beers', 'polarity': 'neutral'}, {'term': 'manager', 'polarity': 'negative'}, {'term': 'reservations', 'polarity': 'positive'}]"
"After a seafood craving, i checked citysearch and chose to go to Fish based on a previous review and the citysearch info.","[{'term': 'seafood', 'polarity': 'neutral'}]"
"After all that, they complained to me about the small tip.","[{'term': 'tip', 'polarity': 'negative'}]"
"After being told that our party of three would be seated in 10 minutes and watching other parties (multiples of 2 and higher) seated for 40 minutes, the three of us were squished into a small 2-person table.","[{'term': '2-person table', 'polarity': 'negative'}]"
"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.","[{'term': 'chicken dish', 'polarity': 'negative'}, {'term': 'manager', 'polarity': 'negative'}, {'term': 'dish', 'polarity': 'neutral'}]"
"After dealing with subpar pizza all over the Kensington neighborhood - I've found little toninos.","[{'term': 'pizza', 'polarity': 'negative'}]"
"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.","[{'term': 'dance floor', 'polarity': 'positive'}, {'term': 'dinner', 'polarity': 'neutral'}]"
"After my 3rd time the manager remembered me and treated me like an usual customer.","[{'term': 'manager', 'polarity': 'positive'}]"
"After passing by this restaurant for sometime I finally decided to go in and have dinner.","[{'term': 'dinner', 'polarity': 'neutral'}]"
"After really enjoying ourselves at the bar we sat down at a table and had dinner.","[{'term': 'bar', 'polarity': 'positive'}, {'term': 'table', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}]"
"After the main course came, we didn't see our waiter for at least 40 MINUTES!","[{'term': 'main course', 'polarity': 'neutral'}, {'term': 'waiter', 'polarity': 'negative'}]"
"After we got our sashimi order, I could not believe how small the portions were!","[{'term': 'sashimi', 'polarity': 'neutral'}, {'term': 'portions', 'polarity': 'negative'}]"
"Again, the waitress was awesome.","[{'term': 'waitress', 'polarity': 'positive'}]"
"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.","[{'term': 'oysters', 'polarity': 'positive'}, {'term': 'quality', 'polarity': 'positive'}]"
"All conveniently delivered right to the door.","[{'term': 'delivered', 'polarity': 'positive'}]"
"All in all the food was above average and I would return to see how they operate with four or less dinners.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'dinners', 'polarity': 'neutral'}]"
"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.","[{'term': 'sushi', 'polarity': 'positive'}]"
"All my co-workers were amazed at how small the dish was.","[{'term': 'dish', 'polarity': 'negative'}]"
"All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.","[{'term': 'food', 'polarity': 'positive'}]"
"All of the pizzas are terrific and the price is even better!","[{'term': 'pizzas', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]"
"All the NYU students love this place so it makes for a fun young atmosphere.","[{'term': 'atmosphere', 'polarity': 'positive'}]"
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!","[{'term': 'appetizers', 'polarity': 'positive'}, {'term': 'salads', 'polarity': 'positive'}, {'term': 'steak', 'polarity': 'positive'}, {'term': 'pasta', 'polarity': 'positive'}]"
"All the desserts the group tried got favorable reviews.","[{'term': 'desserts', 'polarity': 'positive'}]"
"All the food was hot tasty.","[{'term': 'food', 'polarity': 'positive'}]"
"All the money went into the interior decoration, none of it went to the chefs.","[{'term': 'interior decoration', 'polarity': 'positive'}, {'term': 'chefs', 'polarity': 'negative'}]"
"All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.","[{'term': 'pastas', 'polarity': 'positive'}, {'term': 'homemade lasagna', 'polarity': 'positive'}]"
"All we received was an apology as we left to see our show without dinner.","[{'term': 'dinner', 'polarity': 'neutral'}]"
"Also a little more expensive than your average bagel place.","[{'term': 'bagel', 'polarity': 'neutral'}]"
"Also good for client lunch meetings, esp.","[{'term': 'lunch meetings', 'polarity': 'neutral'}]"
"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.","[{'term': 'roll', 'polarity': 'negative'}, {'term': 'menu', 'polarity': 'negative'}]"
"Also, if you don't want to sit at a certain table, you don't have to!","[{'term': 'table', 'polarity': 'positive'}]"
"Also, specify if you like your food spicy- its rather bland if you don't.","[{'term': 'food', 'polarity': 'neutral'}]"
"Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...","[{'term': 'hostess', 'polarity': 'positive'}]"
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","[{'term': 'sandwiches', 'polarity': 'negative'}, {'term': 'chips', 'polarity': 'neutral'}, {'term': 'side', 'polarity': 'neutral'}]"
"Also, top the meal with a delicious and perfect slice of tiramisu.","[{'term': 'tiramisu', 'polarity': 'positive'}, {'term': 'meal', 'polarity': 'neutral'}]"
"Although be warned their dinner menu to sit and take out prices are different.","[{'term': 'prices', 'polarity': 'neutral'}, {'term': 'dinner menu to sit', 'polarity': 'neutral'}, {'term': 'take ou', 'polarity': 'neutral'}]"
"Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter.","[{'term': 'place', 'polarity': 'conflict'}]"
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.","[{'term': 'candle-light', 'polarity': 'positive'}, {'term': 'food-quality', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'tables', 'polarity': 'negative'}]"
"Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}, {'term': 'water', 'polarity': 'neutral'}]"
"Although we were looking for regular lettuce and some walnuts the salads we got were great.","[{'term': 'salads', 'polarity': 'positive'}, {'term': 'lettuce', 'polarity': 'neutral'}, {'term': 'walnuts', 'polarity': 'neutral'}]"
"Always a nice crowd, but never loud.","[{'term': 'crowd', 'polarity': 'positive'}]"
"Always great service!","[{'term': 'service', 'polarity': 'positive'}]"
"Always popular, always full, always a wait.","[{'term': 'wait', 'polarity': 'negative'}]"
"Ambiance and music funky, which I enjoy.","[{'term': 'Ambiance', 'polarity': 'positive'}, {'term': 'music', 'polarity': 'positive'}]"
"Ambiance is barely romantic but management tries.","[{'term': 'Ambiance', 'polarity': 'negative'}, {'term': 'management', 'polarity': 'positive'}]"
"Ambiance- relaxed and stylish.","[{'term': 'Ambiance', 'polarity': 'positive'}]"
"Ambience is delightful, service impeccable.","[{'term': 'Ambience', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"Ambience is so cute and quaint, good for business although we were there on vacation.","[{'term': 'Ambience', 'polarity': 'positive'}]"
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","[{'term': 'values for your money', 'polarity': 'positive'}]"
"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.","[{'term': 'fast food', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}]"
"An excellent service","[{'term': 'service', 'polarity': 'positive'}]"
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","[{'term': 'Food', 'polarity': 'conflict'}, {'term': 'chef', 'polarity': 'positive'}, {'term': 'fish dishes', 'polarity': 'positive'}, {'term': 'soups', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'positive'}, {'term': 'cuisine', 'polarity': 'positive'}]"
"And I say snacking because it really is not set up to be a proper dinner.","[{'term': 'dinner', 'polarity': 'negative'}, {'term': 'snacking', 'polarity': 'neutral'}]"
"And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.","[{'term': 'service', 'polarity': 'negative'}, {'term': 'delivery', 'polarity': 'negative'}]"
"And Kruno, the beverage manager is the best bartender I have yet to come across.","[{'term': 'bartender', 'polarity': 'positive'}, {'term': 'beverage manager', 'polarity': 'positive'}]"
"And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.","[{'term': 'check', 'polarity': 'neutral'}, {'term': 'table', 'polarity': 'neutral'}, {'term': 'glass of water', 'polarity': 'neutral'}]"
"And even with it's Pub atmosphere they were great to my kids too!","[{'term': 'Pub atmosphere', 'polarity': 'conflict'}]"
"And forget what you read under me, the atmosphere isn't that bad either.","[{'term': 'atmosphere', 'polarity': 'neutral'}]"
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","[{'term': 'price', 'polarity': 'positive'}, {'term': 'congee', 'polarity': 'neutral'}, {'term': 'noodles', 'polarity': 'neutral'}, {'term': 'rice dishes', 'polarity': 'neutral'}]"
"And really large portions.","[{'term': 'portions', 'polarity': 'positive'}]"
"And the Tom Kha soup was pathetic.","[{'term': 'Tom Kha soup', 'polarity': 'negative'}]"
"And the bill was outragous.","[{'term': 'bill', 'polarity': 'negative'}]"
"And the food was fantastic.","[{'term': 'food', 'polarity': 'positive'}]"
"And the fried clams had just enough kick to them to make 'em worth eating.","[{'term': 'fried clams', 'polarity': 'positive'}]"
"And the prices were way to high for what you get.","[{'term': 'prices', 'polarity': 'negative'}]"
"And the staff is also young, energeic and hot!!!!","[{'term': 'staff', 'polarity': 'positive'}]"
"And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!","[{'term': 'prices', 'polarity': 'negative'}, {'term': 'prices', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}]"
"And they have these home made potato chips at the bar that are the most delicious things in the world!","[{'term': 'potato chips', 'polarity': 'positive'}, {'term': 'bar', 'polarity': 'neutral'}]"
"And they provided a delicious dessert on the house!","[{'term': 'dessert', 'polarity': 'positive'}]"
"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.","[{'term': 'tables', 'polarity': 'neutral'}, {'term': 'space', 'polarity': 'neutral'}]"
"Another plus is most of the entrees are approx.","[{'term': 'entrees', 'polarity': 'positive'}]"
"Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.","[{'term': 'reservation', 'polarity': 'positive'}, {'term': 'drink', 'polarity': 'neutral'}, {'term': 'bar', 'polarity': 'neutral'}]"
"Anyway, the food is good, the price is right and they have a decent wine list.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'wine list', 'polarity': 'positive'}]"
"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.","[{'term': 'food', 'polarity': 'positive'}]"
"Apparently, the good cook works then.","[{'term': 'cook', 'polarity': 'positive'}]"
"Appetizers are somewhere around $7 each and the main dishes are between $11 and $16.","[{'term': 'Appetizers', 'polarity': 'neutral'}, {'term': 'main dishes', 'polarity': 'neutral'}]"
"As I made the title, it's an affordable restaurant for great taste.","[{'term': 'taste', 'polarity': 'positive'}]"
"As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city.","[{'term': 'food spot', 'polarity': 'positive'}]"
"As always we had a great glass of wine while we waited.","[{'term': 'glass of wine', 'polarity': 'positive'}]"
"As far as the service goes, the waitresses were not particularly friendly, but they got the job done.","[{'term': 'service', 'polarity': 'conflict'}, {'term': 'waitresses', 'polarity': 'conflict'}]"
"As for the bar, this is another bad idea.","[{'term': 'bar', 'polarity': 'negative'}]"
"As much as I like the food there, I can't bring myself to go back.","[{'term': 'food', 'polarity': 'positive'}]"
"As soon as I wake up on a saturday or sunday it is the first thing on my mind is when and how I will be getting to fried dumpling.","[{'term': 'fried dumpling', 'polarity': 'positive'}]"
"As soon as my father lifted his pen from the check a chef appeared to usher us out.","[{'term': 'chef', 'polarity': 'negative'}, {'term': 'check', 'polarity': 'neutral'}]"
"As there were so many to choose from we wandered up and down the street looking in the windows and such noticicing many empty seats ,except at Taj Mahal.","[{'term': 'seats', 'polarity': 'negative'}]"
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.","[{'term': 'waiter', 'polarity': 'neutral'}]"
"As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'employees', 'polarity': 'negative'}, {'term': 'containers for condiments', 'polarity': 'negative'}, {'term': 'containers', 'polarity': 'neutral'}, {'term': 'manager', 'polarity': 'negative'}]"
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.","[{'term': 'chef', 'polarity': 'neutral'}, {'term': 'assortment of fish', 'polarity': 'neutral'}, {'term': 'Fatty Yellow Tail', 'polarity': 'neutral'}, {'term': 'Boton Shrimp', 'polarity': 'neutral'}, {'term': 'Sea Eel', 'polarity': 'neutral'}, {'term': 'Sea Urchin', 'polarity': 'neutral'}, {'term': 'Blue Fin Torro (Fatty Tuna)', 'polarity': 'neutral'}]"
"Aside from the rushed service, we were very impressed with the food and the drinks.","[{'term': 'service', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}]"
"Ask for Usha, the nicest bartender in manhattan.","[{'term': 'bartender', 'polarity': 'positive'}]"
"At 5 dumplings for $1, you just cannot go wrong.","[{'term': 'dumplings', 'polarity': 'positive'}]"
"At the end you're left with a mild broth with noodles that you can slurp out of a cup.","[{'term': 'broth with noodles', 'polarity': 'positive'}]"
"Authentic Pakistani food.","[{'term': 'Pakistani food', 'polarity': 'positive'}]"
"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"Average to good Thai food, but terrible delivery.","[{'term': 'Thai food', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'negative'}]"
"Awsome Pizza especially the Margheritta slice.","[{'term': 'Pizza', 'polarity': 'positive'}, {'term': 'Margheritta', 'polarity': 'positive'}]"
"BE CAREFUL before you request extra spice.","[{'term': 'spice', 'polarity': 'neutral'}]"
"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.","[{'term': 'dish', 'polarity': 'positive'}, {'term': 'Thai spiced curry noodles with shrimp', 'polarity': 'positive'}, {'term': 'dish', 'polarity': 'positive'}, {'term': 'cost', 'polarity': 'positive'}]"
"Bagels are ok, but be sure not to make any special requests!","[{'term': 'Bagels', 'polarity': 'neutral'}]"
"Ballato's is consistently delicious authentic italian food.","[{'term': 'italian food', 'polarity': 'positive'}]"
"Baluchi's has solid food and a nice decor at reasonable prices.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.","[{'term': 'Barbecued codfish', 'polarity': 'positive'}, {'term': 'seasoning', 'polarity': 'negative'}, {'term': 'texture', 'polarity': 'conflict'}, {'term': 'spice rub', 'polarity': 'negative'}, {'term': 'herb mix', 'polarity': 'negative'}, {'term': 'sauce', 'polarity': 'negative'}]"
"Bartender was unable to tear himself away from friends at bar.","[{'term': 'Bartender', 'polarity': 'negative'}, {'term': 'bar', 'polarity': 'neutral'}]"
"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.","[{'term': 'Dim Sum', 'polarity': 'negative'}, {'term': 'dinner', 'polarity': 'positive'}]"
"Be careful of portions - they're HUGE.","[{'term': 'portions', 'polarity': 'positive'}]"
"Be sure to try the seasonal, and always delicious, specials.","[{'term': 'specials', 'polarity': 'positive'}]"
"Because of the delicate thin crust, take-out pies get soggy in their boxes.","[{'term': 'take-out pies', 'polarity': 'negative'}, {'term': 'crust', 'polarity': 'negative'}]"
"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.","[{'term': 'back garden', 'polarity': 'positive'}, {'term': 'reservation', 'polarity': 'negative'}]"
"Beef noodle soup is good as well.","[{'term': 'Beef noodle soup', 'polarity': 'positive'}]"
"Been going here since it opened have seen the quality value decrease considerably.","[{'term': 'quality value', 'polarity': 'negative'}]"
"Behind this counter, two men are squeezed in.","[{'term': 'counter', 'polarity': 'negative'}]"
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.","[{'term': 'table', 'polarity': 'negative'}, {'term': 'served', 'polarity': 'negative'}, {'term': 'dishes', 'polarity': 'negative'}, {'term': 'table', 'polarity': 'negative'}, {'term': 'served', 'polarity': 'negative'}, {'term': 'bill', 'polarity': 'negative'}]"
"Besides, when you have bad service, that's less money you have to tip.","[{'term': 'service', 'polarity': 'negative'}, {'term': 'money', 'polarity': 'negative'}, {'term': 'tip', 'polarity': 'negative'}]"
"Best Italian food I ever had (and being Italian, that means alot).","[{'term': 'Italian food', 'polarity': 'positive'}]"
"Best Pastrami I ever had and great portion without being ridiculous.","[{'term': 'Pastrami', 'polarity': 'positive'}, {'term': 'portion', 'polarity': 'positive'}]"
"Best Reuben sandwich ever!","[{'term': 'Reuben sandwich', 'polarity': 'positive'}]"
"Best Taiwanese food in NY!","[{'term': 'Taiwanese food', 'polarity': 'positive'}]"
"Best dish is nori-wrapped tuna.","[{'term': 'nori-wrapped tuna', 'polarity': 'positive'}, {'term': 'dish', 'polarity': 'positive'}]"
"Best drumsticks over rice and sour spicy soup in town!","[{'term': 'drumsticks over rice', 'polarity': 'positive'}, {'term': 'sour spicy soup', 'polarity': 'positive'}]"
"Best of all is the warm vibe, the owner is super friendly and service is fast.","[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'owner', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"Big Wong gets big Ups for a fine establishment.","[{'term': 'establishment', 'polarity': 'positive'}]"
"Bill a little high, but worth it.","[{'term': 'Bill', 'polarity': 'conflict'}]"
"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.","[{'term': 'cooks', 'polarity': 'positive'}]"
"Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.","[{'term': 'fresh mozzerella slices', 'polarity': 'positive'}, {'term': 'Plain Cheese slice', 'polarity': 'positive'}]"
"Both times I was extremely dissappointed by the service, which was boarderline rude.","[{'term': 'service', 'polarity': 'negative'}]"
"Both times we waited well over a half hour for a table (even though we had reservations).","[{'term': 'table', 'polarity': 'negative'}, {'term': 'reservations', 'polarity': 'negative'}]"
"Bottom line: B+ for the food, F for the service.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]"
"But after last night, Spice Grill is the only place I'm eating indian cuisine.","[{'term': 'indian cuisine', 'polarity': 'positive'}]"
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.","[{'term': 'bacon', 'polarity': 'negative'}, {'term': 'platter', 'polarity': 'negative'}, {'term': 'in sandwiches', 'polarity': 'negative'}, {'term': 'frying', 'polarity': 'negative'}, {'term': 'bacos', 'polarity': 'negative'}]"
"But for whatever reason, prices are about twice as high.","[{'term': 'prices', 'polarity': 'negative'}]"
"But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.","[{'term': 'icing on the cake', 'polarity': 'negative'}, {'term': 'tiramisu', 'polarity': 'negative'}]"
"But the best part about LS is the late night atmosphere, delightfully free of the BTs.","[{'term': 'atmosphere', 'polarity': 'positive'}]"
"But the coconut rice was good.","[{'term': 'coconut rice', 'polarity': 'positive'}]"
"But the main hit was the whole grilled fish.","[{'term': 'whole grilled fish', 'polarity': 'positive'}]"
"But the pizza is way to expensive.","[{'term': 'pizza', 'polarity': 'negative'}]"
"But the staff was so horrible to us.","[{'term': 'staff', 'polarity': 'negative'}]"
"But the thai is definitely not great -- bland and indistinguished.","[{'term': 'thai', 'polarity': 'negative'}]"
"But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.","[{'term': 'bar', 'polarity': 'negative'}, {'term': 'pub', 'polarity': 'negative'}]"
"But they don't have a toaster, which is strange.","[{'term': 'toaster', 'polarity': 'negative'}]"
"But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).","[{'term': 'Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual)', 'polarity': 'positive'}, {'term': 'specials', 'polarity': 'positive'}]"
"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.","[{'term': 'waitresses', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'neutral'}]"
"But who says Murray's is anything about service.","[{'term': 'service', 'polarity': 'neutral'}]"
"But, nothing stands out about the cooking.","[{'term': 'cooking', 'polarity': 'neutral'}]"
"But, they were too big for the bun.","[{'term': 'bun', 'polarity': 'neutral'}]"
"Butter was melted, white wine warm, cheese oozing everywhere.","[{'term': 'Butter', 'polarity': 'negative'}, {'term': 'white wine', 'polarity': 'negative'}, {'term': 'cheese', 'polarity': 'negative'}]"
"By far the best salad I have had in a fast food restaurant.","[{'term': 'salad', 'polarity': 'positive'}, {'term': 'fast food', 'polarity': 'neutral'}]"
